account_id,degree_centrality,betweenness_centrality,pagerank,clustering_coeff,eigenvector_centrality,amount_zscore,velocity,entropy_risk,cluster_density,n_sent,n_received,total_sent,mean_sent,unique_receivers
ACC00258,0.01402229813130155,-0.028788996326556543,-0.039235551884583775,-0.04607369862396263,0.0,-0.21911126092987537,-0.0018942004592801644,0.005784956362324634,-0.010105607563263293,-0.005861795346660266,0.02931127983723302,-0.05261142705026811,-0.07493890126762187,-0.00843358709508363
ACC00647,0.0004408987106896576,-0.06677665937923799,-0.046367311593888946,-0.049161099935620636,0.0,-0.1842501602122201,-0.0006308774524247737,-0.00028671953099451046,-0.01752959986745269,-0.012216907710777753,0.013330386432706337,-0.04327156134338411,-0.05166632168826824,-0.01955055864542226
ACC01983,-0.0075273323572654345,-0.03679746935648804,-0.03996513133257009,-0.04226303767720008,0.0,-0.1852792990739968,-0.0010550919366952736,-0.016714534795994017,-0.00912890767522212,-0.024055961796434662,-0.019044063890679804,-0.042725245365279496,-0.047157268703591264,-0.02622314825487864
ACC01891,0.002456766628548188,0.006746851646890524,-0.05086291233803339,-0.04513837480838502,0.0,-0.1885548190447526,-0.004199885645775246,-0.04179055818354225,-0.02247243875625541,-0.03812345846977433,0.0124494279954256,-0.03626310323459048,-0.04948963588224965,-0.03269435212380261
ACC00473,0.0020012949038800414,-0.0403333973487129,-0.06100903761878113,-0.04837740775715803,0.0,-0.18615329420421825,-0.0015572690171854816,-0.012945217771723135,0.010617411253510876,-0.024035524618995732,-0.046036730985866185,-0.017679457637013826,-0.05283807564806578,0.00041021423403409505
ACC01055,-0.0034585624050820826,-0.0011902608027896159,-0.032017633365217305,-0.05446428358933831,0.0,-0.20872207865893727,-0.001823936023619024,-0.021502832404159934,0.010857220231606263,-0.014601787434349594,-0.0024758066390299567,-0.03900005622298793,-0.07530375931064885,-0.014232715591742892
ACC00332,-0.01625154251857649,0.011111534849649276,-0.045888807654140905,-0.036387003394921874,0.0,-0.18594728434384222,0.0005091484832222163,-0.01467538795488861,-0.014237632780384259,-0.03051302774757236,-0.01472543391015313,-0.04084721187278178,-0.05725278507198289,-0.03283105829992266
ACC00972,0.00024021837988800256,-0.01319439131574192,-0.040421501535089964,-0.04109694888113897,0.0,-0.19369763076544336,-0.0007895106456848777,-0.027868777562327546,-0.01036140424610303,-0.037397331050786894,-0.012042454905624307,-0.03930132363946518,-0.052942217736279926,-0.029063218312498314
ACC00054,-0.014755836469416762,-0.048655794325443986,-0.041971000867282365,-0.03402680598081279,0.0,-0.19160203236099227,-0.0004930683751087677,-0.0027138299103117436,-0.007588548741879616,-0.011350561212504811,-0.011196234442041446,-0.04704946981443187,-0.06806964555421144,-0.01846366416185765
ACC01584,-0.01654385634313686,-0.021566440731047885,-0.0300007618941937,-0.04193178904668085,0.0,-0.16563516227566874,-0.00039868998593570073,-0.004839739420841946,-0.020506910255032127,-0.022050366701224462,-0.034514112043897226,-0.05658544398915205,-0.05867485877888737,-0.024688360750597566
ACC00848,-0.02227059758832721,0.0058158272641140605,-0.02403507561816082,-0.039198397250576625,0.0,-0.1930937249348855,-0.0004776110096128238,-0.0262943401241792,-0.010015795982600004,-0.03601694333268941,-0.023691623292721283,-0.044301948398122334,-0.04852002232653032,-0.0358362396220038
ACC00806,0.03065094737497205,0.015744660198908085,-0.013810298755438512,-0.016635159924451384,0.0,0.5134198395767282,-0.0010009714906401414,-0.011048999406626436,-0.0034217395483073405,-0.02000552531477078,0.014875912301688951,-0.020255130258956037,-0.020874658315074263,-0.015575368654329942
ACC00849,0.004385727991343366,-0.018265027044814527,-0.051264475151098665,-0.052438722740705754,0.0,-0.19019635035817192,-0.0033049224647148825,-0.031633399220676914,-0.016717868354536484,-0.03128009849699483,0.017704814764450995,-0.0335400916434069,-0.05621819919493296,-0.025167880302036396
ACC00228,-0.017946787557578475,-0.03082838594347325,-0.05582137601982367,-0.04516305772675301,0.0,-0.19207889230093703,-0.0010790264474842216,0.05019008420571165,-0.005659983046548019,-0.020710540799042026,0.007790443896872785,-0.03574140494604341,-0.05823120689259757,0.007343641361400334
ACC01385,-0.005091252389662439,-0.009793310076469186,0.03777569500958432,0.058099676331079576,0.0,0.2445710206909825,-0.00032112959056921535,1.8409116594313563e-05,-0.0035058870341739276,0.041997488991747135,0.001655922630605026,0.024985404303983407,0.06371498426754424,0.04795648553245854
ACC00356,-0.021473185087194854,-0.02505749806006059,-0.03838157022631568,-0.0343731526858476,0.0,-0.20601170769542543,-0.0005765552042043467,-0.0036800196032144017,-0.003355428610415945,-0.02301698597249587,0.002844922928948405,-0.05214702369486525,-0.06251443566162097,-0.03019385264358316
ACC01336,-0.0029950686963902758,-0.001184389405486213,-0.04592184884710836,-0.04196756370646738,0.0,-0.20839776733513266,-0.002280394887938271,-0.024441521253529337,-0.01735323013988114,-0.03752936565926717,0.002581111807196364,-0.04138128226109271,-0.05184398850108654,-0.025221183330112227
ACC01019,-0.008698640887186275,-0.02471808468283447,-0.04956863712010393,-0.054765652802443415,0.0,-0.20641478415568948,-0.001600980630725018,0.0009950759082059356,-0.013013820106244658,-0.009235224116437705,0.0026371528341789297,-0.04060173196589403,-0.058605636020977014,-0.014345528470144779
ACC01994,-0.011413804558110974,-0.007592335341704457,-0.04688788565777728,-0.04792144374651619,0.0,-0.19115934848646296,-0.0005417191165188543,-0.0014842109574188032,-0.019301543922627985,-0.021796698932792936,-0.014460809440076687,-0.053889425166030305,-0.054194081567057274,-0.02729318532320123
ACC00673,-0.007217103864207494,-0.03877483817761911,-0.02399391423631504,-0.053561735796894244,0.0,-0.18349649612759436,-0.00034427649461687786,0.0048160926389739876,0.023542105238805514,-0.01185190370863828,-0.031234127900630623,-0.0553946685718039,-0.06140186304416193,-0.009023762171592887
ACC00022,-0.01819607067052873,0.0019691722337601934,-0.04936904467455523,-0.04740696445870225,0.0,-0.21736100195451719,-0.0008219216874024199,-0.01468887267626765,0.008160565873201273,-0.021760883889526107,-0.01250861868493335,-0.04414820585729186,-0.05605514987914973,-0.02574949589038258
ACC00223,-0.0007051103486617089,0.009858889259880089,-0.03537089946631963,-0.05384520037269424,0.0,-0.18039637888111745,-0.0020503216018016076,-0.03709700250647675,0.011635469982285948,-0.02490688379736064,-0.022711188731414103,-0.04103205088690418,-0.054456156569638155,-0.026859658296072356
ACC01128,-0.01845408376294216,-0.011660280214898627,-0.015982352453410172,-0.042500928071793766,0.0,-0.17806515815803575,-0.00040252897361071964,-0.031160063213021495,-0.013248528290342891,-0.033402946800353814,-0.021780519824561143,-0.04477241748597378,-0.05869643532943942,-0.02781024963791192
ACC00016,-0.013853246377589268,-0.014566460030630267,-0.047141208327784956,-0.04102097589495682,0.0,-0.1892652944052852,-0.00041918856336490445,-0.0038170093672708592,-0.012042762619706649,-0.013883550946842146,-0.02639590342714949,-0.04843704488005353,-0.06219343364184598,-0.01490041373381597
ACC01570,-0.017346116990089585,-0.0155157515237379,-0.047067666099060004,-0.05144818946026388,0.0,-0.19400865458173752,-0.0013374893078643714,-0.0028346271057362775,-0.011441258133881733,-0.02577474970789572,0.0004599981423192699,-0.05160978359015909,-0.05745752094998786,-0.02255468290820157
ACC00893,-0.006858779757885569,-0.01074305139852742,0.03364183631505392,-0.05269710750377404,0.0,-0.22143535271319742,-0.003236918047513885,-0.037314897098996234,-0.018813425697891035,-0.043558518162465636,0.005421186124908844,-0.039801735755505295,-0.050904174042470426,-0.03163555447803249
ACC01306,-0.019060220122025198,-0.016652707435687385,-0.05022788572858781,-0.03932844512917753,0.0,-0.2016634861434541,-0.000769568212509502,-0.001402350392469555,-0.007692081444528487,-0.012644678076694964,-0.013139588303148746,-0.047594295251010534,-0.06323938148390071,-0.014521804493101509
